Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,27.176,1715.148,0.818,1743.142,27.994
2,Task 1: sum1,1.239,1713.918,0.697,1715.855,1.936
3,Task 1: sum1,0.85,1714.078,0.536,1715.464,1.386
4,Task 1: sum1,0.871,1714.239,0.726,1715.836,1.597
5,Task 1: sum1,0.88,1714.737,0.664,1716.28,1.543
6,Task 1: sum1,0.955,1714.533,0.664,1716.153,1.62
7,Task 1: sum1,1.004,1714.806,0.673,1716.483,1.677
8,Task 1: sum1,0.862,1714.861,0.692,1716.415,1.554
9,Task 1: sum1,0.892,1714.772,0.62,1716.283,1.512
10,Task 1: sum1,0.84,1714.905,0.672,1716.417,1.512
11,Task 1: sum1,1.075,1714.985,0.724,1716.783,1.798
12,Task 1: sum1,0.804,1714.908,0.616,1716.328,1.42
13,Task 1: sum1,0.85,1714.918,0.783,1716.55,1.633
14,Task 1: sum1,0.876,1715.287,0.7,1716.863,1.576
15,Task 1: sum1,0.847,1715.256,0.638,1716.741,1.485
16,Task 1: sum1,1.059,1715.255,0.72,1717.034,1.779
17,Task 1: sum1,0.846,1715.682,0.668,1717.196,1.514
18,Task 1: sum1,0.818,1715.477,0.592,1716.888,1.411
19,Task 1: sum1,0.891,1715.395,0.685,1716.971,1.576
20,Task 1: sum1,0.862,1715.7,0.686,1717.247,1.548
21,Task 1: sum1,0.954,1715.365,1.388,1717.707,2.343
22,Task 1: sum1,0.859,1715.73,0.741,1717.33,1.6
23,Task 1: sum1,0.887,1716.3,0.93,1718.116,1.816
24,Task 1: sum1,1.122,1716.075,0.689,1717.887,1.812
25,Task 1: sum1,1.184,1716.8,0.763,1718.746,1.947
26,Task 1: sum1,0.811,1716.235,0.622,1717.669,1.433
27,Task 1: sum1,0.904,1716.005,0.497,1717.406,1.401
28,Task 1: sum1,1.051,1716.165,0.762,1717.978,1.813
29,Task 1: sum1,0.896,1716.058,0.949,1717.903,1.845
30,Task 1: sum1,0.888,1716.049,0.687,1717.623,1.575
31,Task 1: sum1,0.868,1716.537,0.667,1718.072,1.535
32,Task 1: sum1,0.964,1716.547,0.714,1718.225,1.678
33,Task 1: sum1,0.884,1716.296,0.526,1717.706,1.41
34,Task 1: sum1,0.883,1716.464,1.254,1718.601,2.136
35,Task 1: sum1,0.878,1716.333,0.653,1717.864,1.531
36,Task 1: sum1,0.899,1716.585,0.697,1718.181,1.596
37,Task 1: sum1,0.854,1716.653,0.691,1718.198,1.545
38,Task 1: sum1,0.893,1716.692,0.714,1718.299,1.607
39,Task 1: sum1,0.843,1716.361,0.622,1717.827,1.465
40,Task 1: sum1,0.891,1716.555,0.63,1718.076,1.521
41,Task 1: sum1,1.037,1716.833,0.643,1718.513,1.68
42,Task 1: sum1,0.928,1716.63,0.651,1718.21,1.579
43,Task 1: sum1,0.962,1716.925,0.671,1718.558,1.633
44,Task 1: sum1,0.814,1716.883,0.691,1718.388,1.505
45,Task 1: sum1,0.87,1716.768,0.743,1718.382,1.614
46,Task 1: sum1,1.114,1716.771,0.999,1718.885,2.113
47,Task 1: sum1,0.984,1717.341,0.677,1719.002,1.662
48,Task 1: sum1,0.803,1716.847,0.637,1718.287,1.44
49,Task 1: sum1,0.787,1716.806,0.661,1718.255,1.449
50,Task 1: sum1,0.906,1716.99,0.684,1718.58,1.59

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.917,1715.884,0.714,1717.516,1.632
