Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,10.758,544.435,0.513,555.706,11.271
1,Task 2: sum2,8.643,547.153,7.598,563.394,16.241
1,Task 3: sum3,19.981,547.087,0.505,567.573,20.486
1,Task 4: sum4,565.985,547.434,0.52,1113.939,566.505
2,Task 1: sum1,0.854,544.414,0.418,545.685,1.272
2,Task 2: sum2,0.523,546.951,0.408,547.882,0.931
2,Task 3: sum3,1.237,547.083,0.496,548.816,1.732
2,Task 4: sum4,547.901,547.375,0.472,1095.748,548.373
3,Task 1: sum1,1.1,544.647,0.479,546.226,1.579
3,Task 2: sum2,1.019,547.137,0.388,548.544,1.407
3,Task 3: sum3,0.985,547.124,0.437,548.546,1.422
3,Task 4: sum4,547.798,547.378,0.46,1095.637,548.259
4,Task 1: sum1,0.771,544.536,0.393,545.701,1.165
4,Task 2: sum2,0.96,547.119,0.376,548.456,1.337
4,Task 3: sum3,1.002,547.185,0.464,548.651,1.466
4,Task 4: sum4,547.85,547.375,0.455,1095.68,548.305
5,Task 1: sum1,0.809,544.554,0.469,545.833,1.278
5,Task 2: sum2,0.552,547.165,0.395,548.111,0.946
5,Task 3: sum3,1.01,547.093,0.45,548.553,1.46
5,Task 4: sum4,547.767,547.48,0.461,1095.707,548.227
6,Task 1: sum1,0.836,544.634,0.431,545.902,1.268
6,Task 2: sum2,1.441,547.182,0.381,549.004,1.822
6,Task 3: sum3,1.009,546.783,0.439,548.231,1.448
6,Task 4: sum4,547.425,547.425,0.446,1095.296,547.871
7,Task 1: sum1,0.873,544.636,0.43,545.939,1.303
7,Task 2: sum2,1.104,547.244,0.385,548.733,1.489
7,Task 3: sum3,1.082,547.369,0.432,548.882,1.513
7,Task 4: sum4,548.039,547.63,0.463,1096.132,548.502
8,Task 1: sum1,0.869,544.671,0.482,546.022,1.351
8,Task 2: sum2,0.571,546.821,0.347,547.739,0.918
8,Task 3: sum3,0.777,547.272,0.419,548.468,1.196
8,Task 4: sum4,547.719,547.47,0.426,1095.615,548.145
9,Task 1: sum1,0.879,544.653,0.424,545.956,1.303
9,Task 2: sum2,1.105,547.272,0.352,548.73,1.457
9,Task 3: sum3,1.023,547.184,0.409,548.616,1.432
9,Task 4: sum4,547.838,547.565,0.438,1095.84,548.275
10,Task 1: sum1,0.867,544.762,0.431,546.06,1.298
10,Task 2: sum2,0.791,547.395,0.369,548.555,1.16
10,Task 3: sum3,0.997,547.293,0.393,548.684,1.39
10,Task 4: sum4,547.949,547.668,0.474,1096.092,548.423

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.873,544.612,0.440,545.925,1.313
AVERAGE,Task 2: sum2,0.896,547.143,0.378,548.417,1.274
AVERAGE,Task 3: sum3,1.014,547.154,0.438,548.605,1.451
AVERAGE,Task 4: sum4,547.810,547.485,0.455,1095.750,548.264
