Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,25.931,2289.22,0.775,2315.927,26.707
1,Task 2: sum2,21.724,2289.394,1.149,2312.268,22.874
1,Task 3: sum3,21.321,2288.987,0.775,2311.083,22.096
1,Task 4: sum4,22.19,2289.192,0.727,2312.108,22.917
2,Task 1: sum1,14.872,2289.379,0.839,2305.09,15.712
2,Task 2: sum2,0.951,2289.215,0.701,2290.867,1.652
2,Task 3: sum3,1.02,2289.034,0.728,2290.782,1.748
2,Task 4: sum4,1.05,2289.406,0.823,2291.279,1.873
3,Task 1: sum1,0.818,2289.227,0.731,2290.776,1.549
3,Task 2: sum2,0.966,2288.945,0.667,2290.578,1.633
3,Task 3: sum3,1.046,2289.197,0.616,2290.859,1.661
3,Task 4: sum4,0.967,2289.194,0.798,2290.958,1.765
4,Task 1: sum1,0.925,2288.996,0.678,2290.599,1.603
4,Task 2: sum2,1.056,2288.884,0.669,2290.61,1.725
4,Task 3: sum3,3.489,2288.957,0.556,2293.002,4.045
4,Task 4: sum4,1.043,2288.913,0.639,2290.594,1.682
5,Task 1: sum1,10.431,2289.627,0.714,2300.772,11.145
5,Task 2: sum2,1.004,2289.098,0.708,2290.811,1.713
5,Task 3: sum3,3.403,2288.936,0.729,2293.067,4.131
5,Task 4: sum4,1.003,2289.311,0.633,2290.947,1.636

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,6.761,2289.307,0.740,2296.809,7.502
AVERAGE,Task 2: sum2,0.994,2289.035,0.686,2290.716,1.681
AVERAGE,Task 3: sum3,2.240,2289.031,0.657,2291.927,2.896
AVERAGE,Task 4: sum4,1.016,2289.206,0.723,2290.945,1.739
