Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,10.953,0.304,0.406,11.663,11.359
2,Task 1: sum1,0.617,0.326,0.379,1.322,0.996
3,Task 1: sum1,0.608,0.299,0.334,1.241,0.942
4,Task 1: sum1,0.532,0.316,0.332,1.18,0.864
5,Task 1: sum1,0.575,0.297,0.339,1.21,0.913
6,Task 1: sum1,0.714,0.314,0.317,1.345,1.031
7,Task 1: sum1,0.599,0.34,0.351,1.289,0.95
8,Task 1: sum1,0.532,0.323,0.323,1.178,0.855
9,Task 1: sum1,0.556,0.297,0.333,1.186,0.889
10,Task 1: sum1,0.582,0.316,0.307,1.205,0.889
11,Task 1: sum1,0.562,0.304,0.342,1.208,0.903
12,Task 1: sum1,0.569,0.299,0.352,1.22,0.921
13,Task 1: sum1,0.531,0.329,0.274,1.135,0.805
14,Task 1: sum1,0.522,0.318,0.273,1.114,0.795
15,Task 1: sum1,0.577,0.302,0.355,1.234,0.932
16,Task 1: sum1,0.519,0.296,0.269,1.084,0.789
17,Task 1: sum1,0.572,0.302,0.337,1.211,0.908
18,Task 1: sum1,0.57,0.3,0.309,1.18,0.88
19,Task 1: sum1,0.518,0.313,0.329,1.16,0.848
20,Task 1: sum1,0.589,0.285,0.329,1.202,0.918
21,Task 1: sum1,0.624,0.314,0.31,1.248,0.934
22,Task 1: sum1,0.606,0.315,0.351,1.273,0.957
23,Task 1: sum1,0.669,0.314,0.345,1.328,1.014
24,Task 1: sum1,0.587,0.338,0.33,1.255,0.917
25,Task 1: sum1,0.642,0.327,0.324,1.294,0.967
26,Task 1: sum1,0.542,0.295,0.335,1.172,0.877
27,Task 1: sum1,0.555,0.295,0.34,1.191,0.895
28,Task 1: sum1,0.538,0.309,0.332,1.179,0.87
29,Task 1: sum1,0.556,0.304,0.328,1.188,0.884
30,Task 1: sum1,0.643,0.296,0.34,1.279,0.983
31,Task 1: sum1,0.537,0.301,0.336,1.173,0.872
32,Task 1: sum1,0.617,0.315,0.343,1.275,0.96
33,Task 1: sum1,0.597,0.362,0.349,1.308,0.946
34,Task 1: sum1,0.596,0.321,0.351,1.268,0.946
35,Task 1: sum1,0.491,0.301,0.287,1.079,0.778
36,Task 1: sum1,0.576,0.296,0.331,1.203,0.907
37,Task 1: sum1,0.645,0.33,0.39,1.366,1.035
38,Task 1: sum1,0.592,0.332,0.405,1.329,0.997
39,Task 1: sum1,0.656,0.304,0.351,1.312,1.007
40,Task 1: sum1,0.575,0.321,0.381,1.277,0.957
41,Task 1: sum1,0.636,0.308,0.304,1.248,0.94
42,Task 1: sum1,0.567,0.308,0.343,1.218,0.911
43,Task 1: sum1,0.568,0.304,0.335,1.207,0.903
44,Task 1: sum1,0.555,0.297,0.349,1.202,0.904
45,Task 1: sum1,0.554,0.297,0.341,1.191,0.895
46,Task 1: sum1,0.54,0.313,0.312,1.165,0.852
47,Task 1: sum1,0.554,0.32,0.348,1.222,0.902
48,Task 1: sum1,0.631,0.303,0.301,1.235,0.932
49,Task 1: sum1,0.498,0.308,0.278,1.085,0.777
50,Task 1: sum1,0.586,0.318,0.333,1.238,0.919

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.579,0.311,0.332,1.223,0.912
